#,Address,OP,Points,Alpha Gal,Ape Warrior Redux,Base of Bored,Bored 101,Bored Council,Bored Survivors,Bored Town,Bored WOW,Catens,Faceless Portraits,Faceless Totz,Mangmoom,MONO is Bored,Nova Ape,NovaNaut,Robonaut,RoboSkull,The Vintract,Zkalien
55,0x356D3CEC928Fd4683bD8283cF76b11e4867056b4,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x35a1c9b1ED12332Be6b1AD5F232C6071acfF2185,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x367c49e002616469e2Ad73485ef3912520bcFca2,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x37dF303Cb31753380A28C491a16dbd8ecDbE20D7,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x39D8873825197b891694F7e973600855035dD391,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x39E0bfcE008E696A9907F854Bcde2A996b1Ee795,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x3EC52292aEF4039bCBf00cC10D0DCC4c05676141,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x3a6bfE2B87B4b7d8EC76142D0adA23FCe10B74b0,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x3bbCf2972299E6Da5eF830aF78791E3a7ed7278D,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x3cddcEBC43708c59af29d256eFa08C65910e0B2b,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x4129b4337d5A2F7278A02Ff15Bb1e4E548D8eE60,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x41357F986bec5e47e196e902439528dfE1Ad5051,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x415Db2C56839302a6A8CC422c4b6171add5D96ee,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
